id,title,price_iqd,price_raw,price_usd,specs,code,id_cat,url,image,source_cat
3812,HP OMNIBOOK X FLIP 16 INCH CORE ULRTA 7-256V INTEL ARC 140V 16GB LPDDR5x-8533MHZ 1TB SSD 2K 60Hz LCD/IPS AS0023DX,1410749,"1,410,749 - 1,435,498",1017.86,"كاميرا بدقة 5Mp, شاشة لمس , قلاب 360 درجة , إضاءة كيبورد بيضاء , 65W , LCD/IPS , (2K) , 60Hz , CORE ULRTA 7-256V , INTEL ARC 140V , 16GB LPDDR5x Not Upgradable , 1TB SSD Not Upgradable , استخدام تصفح 4-5 hours , سنة صيانة و حسب شروط الضمان.",673421,70,https://alamani.iq/computer/details/3812,https://apiapp.alamani.iq/public/ar/save_file/cf6694b096f53db9ead3081974bf343a.webp,computer:7
4164,HP VICTUS 15.6 INCH RYZEN 7-7445HS RTX 4050 6GB GDDR6 16GB 512GB SSD FHD 144Hz LCD/IPS FB3022NE,1435749,"1,435,749 - 1,460,498",1035.71,"كاميرا ‎بدقة 720p , تخزين 120W , LCD/IPS , (FHD) , 144Hz , RYZEN 7-7445HS , RTX 4050 6GB GDDR6 , 16GB DDR5 , 512GB SSD , استخدام تصفح وكيمنك 1.5 hours .",673544,70,https://alamani.iq/computer/details/4164,https://apiapp.alamani.iq/public/ar/save_file/b8c52e65263ef820dddb7d5340844419.webp,computer:7
4252,LENOVO LOQ 15.6 INCH RYZEN 7-7735HS RTX 4050 6GB GDDR6 16GB 512GB SSD FHD 144Hz LCD\IPS 15ARP10E,1455749,"1,455,749 - 1,480,498",1050.0,"كاميرا ‎بدقة ‎720Mp , تخزين 135W , LCD/IPS , (FHD) , 144Hz , RYZEN 7-7735HS , RTX 4050 6GB GDDR6 , 16GB DDR5 Upgrdable , 512GB SSD Upgrdable , استخدام تصفح وكيمنك 1.5 hours .",673631,69,https://alamani.iq/computer/details/4252,https://apiapp.alamani.iq/public/ar/save_file/8a9c62a3f11e60f54207326cde447acf.webp,computer:7
4180,LENOVO LOQ 15.6 INCH CORE I7-13650HX GEFORCE RTX 3050 6GB GDDR6 16GB 512GB SSD FHD 144HZ 15IRX9,1460749,"1,460,749 - 1,485,498",1053.57,"كاميرا ‎بدقة 720P , تخزين 170W , LCD/IPS , (FHD) , 144Hz , CORE I7-13650HX , RTX 3050 6GB GDDR6 , 16GB DDR5 Upgradable , 512GB SSD Upgradable , استخدام تصفح وكيمنك 1.5 hours .",673560,69,https://alamani.iq/computer/details/4180,https://apiapp.alamani.iq/public/ar/save_file/351b8699015ba83a01bd604aab7b8841.webp,computer:7
4123,MSI CYBORG 15.6 INCH CORE I7-13620H RTX 4050 6GB GDDR6 16GB DDR5 5200MHZ 512GB SSD FHD 144Hz LCD/IPS A13VE-2256XAE,1485749,"1,485,749 - 1,510,498",1071.43,"كاميرا ‎بدقة ‎720P , تخزين 120W , LCD/IPS , (FHD) , 144Hz , CORE I7-13620H , RTX 4050 6GB GDDR6 , 16GB DDR5 Not Upgradable , 512GB SSD Not Upgradable , استخدام تصفح +كيمنك 1.5-1 hours .",673504,72,https://alamani.iq/computer/details/4123,https://apiapp.alamani.iq/public/ar/save_file/0faf819561a1b271bc59e7349ceb0013.webp,computer:7
3151,APPLE MACBOOK PRO M1 مستخدم,1535749,"1,535,749 - 1,560,498",1107.14,"16.2"" Liquid Retina XDR, Mini-LED Backlit, 1000 nits sustained / 1600 nits peak, P3 Wide Color, True Tone/ 3456*2234/ 120HZ/ APPLE M1 PRO (10-Core CPU with 8 Performance Cores & 2 Efficiency Cores, 16-Core Neural Engine)/ APPLE M1 PRO (Integrated 16-Core GPU, 200GB/s Memory Bandwidth)/ 16GB RAM/ 512GB SSD",366410,87,https://alamani.iq/computer/details/3151,https://apiapp.alamani.iq/public/ar/save_file/d16dbe1557751a22bc58eb85a3fe7953.webp,computer:11
3720,ASUS TUF A16 16 INCH RYZEN 7-7445HS RTX 4050 6GB GDDR6 16GB DDR5 512GB SSD WUXGA 144Hz LCD/IPS FA607NUG-WH73,1535749,"1,535,749 - 1,560,498",1107.14,"كاميرا بدقة 720p , إضاءة كيبورد منطقة واحدة , 240W , LCD/IPS , (FHD+) , 144Hz , RYZEN 7-7445HS , RTX 4050 6GB GDDR6 , 16GB DDR5 Not Upgradable , 512GB SSD , استخدام تصفح 5-4 hours , كيمنك 1.5-1 hours",673322,67,https://alamani.iq/computer/details/3720,https://apiapp.alamani.iq/public/ar/save_file/8e313ace4ac98127cda821405cd4311d.webp,computer:7
4166,ACER NITRO V16 AI 16 INCH RYZEN 7 260 RTX 5050 8GB GDDR6 16GB 512GB SSD WUXGA 180Hz LCD/IPS ANV16-42-R96P,1585749,"1,585,749 - 1,610,498",1142.86,"كاميرا ‎بدقة ‎720P , تخزين 135W , LCD/IPS , (WUXGA) , 180Hz , RYZEN 7 260 , RTX 5050 8GB GDDR6 , 16GB DDR5 Upgradable , 512GB Not SSD Upgradable , استخدام تصفح وكيمنك 1.5 hours .",673547,73,https://alamani.iq/computer/details/4166,https://apiapp.alamani.iq/public/ar/save_file/52dbdc3daddb0a28a2e0e49c9d628b0f.webp,computer:7
3226,HP VICTUS GAMING 16-S1xxx مستخدم,1685749,"1,685,749 - 1,710,498",1214.29,IPS FHD/ 16.1INCH/ 1920*1080/ 144HZ/ AMD RYZEN 7 8845HS/ NVIDIA GEFORCE RTX 4070/ 16GB RAM DDR5 5600MHZ/ 512GB SSD,366335,77,https://alamani.iq/computer/details/3226,https://apiapp.alamani.iq/public/ar/save_file/d6edeabc591179fbf1d3fa6697c8fa91.webp,computer:11
3215,HP VICTUS GAMING 16-S1xxx مستخدم,1685749,"1,685,749 - 1,710,498",1214.29,IPS FHD/ 16.1INCH/ 1920*1080/ 144HZ/ AMD RYZEN 7 8845HS/ NVIDIA GEFORCE RTX 4070/ 16GB RAM DDR5 5600MHZ/ 512GB SSD,366346,77,https://alamani.iq/computer/details/3215,https://apiapp.alamani.iq/public/ar/save_file/b9c1c7c82cee6789038751ab93281567.webp,computer:11
